Ward No,SubWard,Locality Names
1,,"Govindapura, Vasudevapura, Manchenahalli, Yelhanka Airport Area, Sai spring field colony, Lake view residency, Venkatala, Venkatala Layout, Venkatappa Layout, Vikas layout, Sathyappa Anjanappa Kempamma Layout, Maruthi Nagar, Jayanna Layout, Bhadranna Layout, Shankaranna Layout, Kulappa Layout, Kendriya Vihar, Yelahanka (P), Maheshwari Nagar, Gandhi Nagar, Nehru Nagar,  Surabhi Layout, Mantri township, Shobha Ultima villas, Yelahanka Kere."
,,
,,
,,
2,,"Harohalli, Harohalli kere, Kanchenahalli, ISRO Layout, Naganahalli, Naganahalli new layout, KEB Layout Phase I, Balaji Layout, Vinayaka Layout, Ramanashree Califonia Garden layout, Deo Marvel Layout, Mahalaxmi Layout, Nisarga Layout, CRPF Quarters, Puttanahalli, Puttanahalli kere, Monte Carlo apartment, DG staff quarters, Central excise quarters, Wheel and Axle plant, FM Goetze plant,  Chowdeswari Layout, Kamakshiamma Layout, East Colony, Yelahanka (P), KHB Colony"
,,
,,
,,
3,,"Ananthapura, Chikka Bettahalli, Dodda Bettahalli, Bharat Nagar (MS Palya), Chandrappa Layout, Hill side medows layout, Sai Nagar Phase I and II, Basavalingappa Layout, Netravathi Layout (P), Sai orchards, Best county 3, G Ramaiah Layout, Jyothi Nagar, GPF Layout, Muneshwara Layout Ist and 2nd Phases, Hari raju Layout, Vaderahalli kere, AMS Layout, Veerasagara kere, Thirumala Nagar, Atturu Layout, Muneshwara Layout (Atturu), Anand Nagar, Atturu, Atturu kere, KHB apartments, Yalahanka 4th and 5th Stages, 208-SFS colony,  Central excise and custom staff quarters, Air force quarters, Yelhanka new town, KSIDC industrial estate, WAP staff quarters"
,,
,,
,,
4,,"Udaya Layout, Mother Dairy, Soma Nagar, Janata Colony, Chikka Bommasandra, Yelhanka Satellite town, ABC quarters, Ambedkar colony, Allalasandra, Allalasandra kere, Judicial Layout, GKVK campus (P), Judicial colony"
,,
,,
,,
